"Variable","Label"
"Eq1a05","Revenue from sales in 2005"
"Eq1b05","Value of production/manufactured in 2005"
"Eq1c05","Value of additional income in 2005"
"Eq1d05","Total inderect costs in 2005"
"Eq1e05","Value of raw materials in 2005"
"Eq1f05","Total value added in 2005"
"Eq1g05","Total wage bill, incluiding allowance in 2005"
"Eq1h05","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"Eq1i05","Total gross profit in 2005"
"Eq1j05","Value of your allowable depreciation in 2005"
"Eq1k05","Total interest payments (only formal) in 2005"
"Eq1l05","Total fees and taxes (only formal) in 2005"
"Eq1m05","Inventories of finished goods beginning-year in 2005"
"Eq1n05","Inventories of finished goods end-year in 2005"
"Eq1o05","Inventories of raw materials and unfinished products beginning-year in 2005"
"Eq1p05","Inventories of raw materials and unfinished products end-year in 2005"
"Eq1q05","Total physical assets end-year (accounting value) in 2005"
"Eq1r05","Land value end-year (accounting value) in 2005"
"Eq1s05","Buildings end-year (accounting value) in 2005"
"Eq1t05","Machinery/Equipment end-year (accounting value) in 2005"
"Eq1u05","Total financial assets end-year (accounting value) in 2005"
"Eq1v05","Total outstanding debt end-year in 2005"
"Eq1x05","Total number of full-time workers in firm end-year in 2005"
"Eq1a06","Revenue from sales in 2006"
"Eq1b06","Value of production/manufactured in 2006"
"Eq1c06","Value of additional income in 2006"
"Eq1d06","Total inderect costs in 2006"
"Eq1e06","Value of raw materials in 2006"
"Eq1f06","Total value added in 2006"
"Eq1g06","Total wage bill, incluiding allowance in 2006"
"Eq1h06","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"Eq1i06","Total gross profit in 2006"
"Eq1j06","Value of your allowable depreciation in 2006"
"Eq1k06","Total interest payments (only formal) in 2006"
"Eq1l06","Total fees and taxes (only formal) in 2006"
"Eq1m06","Inventories of finished goods beginning-year in 2006"
"Eq1n06","Inventories of finished goods end-year in 2006"
"Eq1o06","Inventories of raw materials and unfinished products beginning-year in 2006"
"Eq1p06","Inventories of raw materials and unfinished products end-year in 2006"
"Eq1q06","Total physical assets end-year (accounting value) in 2006"
"Eq1r06","Land value end-year (accounting value) in 2006"
"Eq1s06","Buildings end-year (accounting value) in 2006"
"Eq1t06","Machinery/Equipment end-year (accounting value) in 2006"
"Eq1u06","Total financial assets end-year (accounting value) in 2006"
"Eq1v06","Total outstanding debt end-year in 2006"
"Eq1x06","Total number of full-time workers in firm end-year in 2006"
"q1_07","Firm id"
"resp_pos","Position of respondent"
"q2b_07","Position of respondent"
"resp_gender","Gender of respondent"
"q2c_07","Gender of respondent"
"resp_age","Age of respondent"
"q2d_07","Age of respondent"
"district","District"
"province","Province"
"q3d_07","Internet access"
"q3e_07","Email"
"q3f_07","Website"
"q4a_07","Firm merger (take-over)"
"q5_07","Production zone"
"q6a_07","Year of establishment"
"q6b_07","Year of take over (current owners)"
"q7_07","Tax code"
"q8_07","Type of firm"
"q9_07","Changed owner"
"q9a_07","Reason for changing owner"
"q10a_07","The firm been closed down for a year or more"
"q10b_07","Changed legal status"
"q11a_07","Changed location"
"q11b_07","Reason for changing location"
"q12_07","Legal status"
"q12_07n","Legal status"
"q13_07","Manufacturing main production sector"
"q13_07r","Raw data Sector 2-digit"
"q14a_07","Main road"
"q14b_07","Easy access to rail"
"q14c_07","Easy access to port"
"q15_07","Premises mainly used for"
"q16a_07","Certificate of Land Use Rights"
"haveclur","Have CLUR"
"q16aa_07","Time to obtain CLUR"
"q16ab_07","Time to obtain CLUR"
"q17a_07","Sector"
"q17a_4ds_07","Sector 4-digit VSIC"
"q18_07","Previous experience"
"q19a_07","Main reason for starting business"
"q21a_07","Assistance from government officials"
"q21b_07","Assistance from state owned commercial bank"
"q21c_07","Assistance from state owned enterprise"
"q21d_07","Assistance from donor agencies/foriegn NGOs"
"q21e_07","Assistance from mass organizations"
"q21f_07","Assistance from private firms or banks"
"q21g_07","Assistance from friends and relatives/family"
"q21h_07","Assistance from friends and relatives/family"
"q22a_07","Number of HH members"
"q22aa_07","Number of women in HH"
"q22ba_07","Number children (below age of 15) in HH"
"q22bb_07","Number of adults between 15-60 in HH"
"q22bc_07","Number of adults over 60 in HH"
"q23a_07","Number of full time jobs"
"q23aa_07","Number of full time jobs in the enterprise"
"q23ab_07","Number of full time jobs elsewhere for wages"
"q23ac_07","Number of full time jobs elsewhere self-employed"
"q23b_07","Number of part time jobs"
"q23ba_07","Number of part time jobs in the enterprise"
"q23bb_07","Number of part time jobs elsewhere for wages"
"q23bc_07","Number of part time jobs elsewhere self-employed"
"q24a_07","Number of income generating jobs"
"q24b_07","Firm profit/income main source of HH income"
"q25_07","HH income change since 2005"
"q26a_07","Gender of respondent"
"q26b_07","Age of respondent"
"q26c_07","Respondent ethnicity"
"q26d_07","Respondent basic education"
"q26e_07","Respondent prof education"
"q26f_07","Respondent prof education"
"q26g_07","Owner previous education"
"q26ha_07","Respondent hold a local cadre position"
"q26hb_07","Respondent is war veteran"
"q26hc_07","Respondent holds other position of responsability"
"q26i_07","Respondent is a Communist Party member"
"q26j1_07","Type of dwelling"
"q26j2_07","Dwelling's area in sqt meters"
"q26j3_07","Time living in this dwelling (in years)"
"q26j4_07","Which year was the dwelling built"
"q26j5_07","When did last undertake major house repair"
"q27a_07","Before establishing current firm, did the owner have another enterprise?"
"q27b_07","Does the owner currently own other enterprises?"
"q28_07","Does the enterprise use:"
"q29a_07","Share of equipment/machinery under 3 years old"
"q29b_07","Share of equipment/machinery 3 to 5 years old"
"q29c_07","Share of equipment/machinery 6 to 10 years old"
"q29d_07","Share of equipment/machinery 11 to 20 years old"
"q29e_07","Share of equipment/machinery over 20 years old"
"q30a_07","Share of equipment/machinery new"
"q30b_07","Share of equipment/machinery used"
"q30c_07","Share of equipment/machinery self-constructed"
"q30ba_07","Share of equipment/machinery purchased locally (same district)"
"q30bb_07","Share of equipment/machinery purchased other district same province"
"q30bc_07","Share of equipment/machinery purchased other province"
"q30bd_07","Share of equipment/machinery purchased through direct import"
"q30be_07","Share of equipment/machinery purchased through indirect import"
"q31_07","Own equipment/machinery"
"q32_07","Main source of supply of equipment/machinery"
"q33_07","Capacity Utilization"
"q34a_07","Number of PCs"
"q34b_07","Sell via e-trading"
"q34c_07","Buy inputs via e-trading"
"q35a_07","Oursource"
"q35ad","Reason for oursourcing"
"q35b_07","Subcontractor"
"q37a_07","Share of production used for final consumption"
"q37b_07","Share of production used for inputs in agriculture"
"q37c_07","Share of production used for inputs in manufacturing"
"q37d_07","Share of production used for inputs in services"
"q37e_07","Share of production for which final origin is unknown"
"q38_07","Most important way you set prices?"
"q39_07","Produce on advance order"
"q40_07","Advertise"
"q41_07","Number of customers"
"q42a_07","Share of customers in same commune"
"q42b_07","Share of customers in other commune within district"
"q42c_07","Share of customers in other district within province"
"q42d_07","Share of customers in neighbouring province"
"q42e_07","Share of customers in other province (non-neighbouring)"
"q42f_07","Share of customers in other country (export)"
"q43a_07","Share of customers individual local people"
"q43b_07","Share of customers tourists"
"q43c_07","Share of customers non-commercial government authorities"
"q43d_07","Share of customers domestic non-state firms"
"q43e_07","Share of customers state enterprises"
"q43f_07","Share of customers foreign invested companies"
"q43g_07","Share of customers in foreign country (export)"
"q44_07","Export"
"q44a_07","Direct export"
"q45_07","Direct export start year"
"q46_07","Number of direct export customers"
"q47aa_07","Firm exports to China"
"q47ab_07","Firm exports to Japan"
"q47ac_07","Firm exports to ASEAN"
"q47ad_07","Firm exports to other asian firms"
"q47ae_07","Firm exports to the US"
"q47af_07","Firm exports to the EU"
"q47ag_07","Firm exports to Russia"
"q47ah_07","Firm exports to other countries"
"q48a_07","Days for customs clearance in Vietnam"
"q48b_07","Time to export"
"q49_07","Receives orders for direct export"
"q49a_07","Receive prdoct specification, designs, materials"
"q50_07","Long-term relationship with foreign customers"
"q51_07","Legal advice for direct export contracts"
"q52_07","Certificate for direct export contracts"
"q53_07","Assessment of direct export cooperation"
"q54_07","Foreign cooperation provided technology otherwise not obtained"
"q55a_07","Electricity share of total indirect costs"
"q55b_07","Fuel and gas share of total indirect costs"
"q55c_07","Water share of total indirect costs"
"q55d_07","Rental costs share of total indirect costs"
"q55e_07","Stationary and office supplies share of total indirect costs"
"q55f_07","Telephone/Internet share of total indirect costs"
"q55g_07","Transport share of total indirect costs"
"q55h_07","Insurence share of total indirect costs"
"q55i_07","Marketing share of total indirect costs"
"q55j_07","Maintenance share of total indirect costs"
"q55_07","Other indirect costs share of total indirect costs"
"q56_07","Days of inventory of most important input"
"q57a_07","Road share of total transport"
"q57b_07","Rail share of total transport"
"q57c_07","Shipping share of total transport"
"q57d_07","Air share of total transport"
"q58a_07","Share of transport handled by the firm itself"
"q58b_07","Share of transport under a contract with a company"
"q58c_07","Share of transport under a collective agreement with other firms"
"q58ca_07","Why does the firm consolidate cargo with other enterprises?"
"q59a_07","Share of raw materials procured from households"
"q59b_07","Share of raw materials procured from other non-state enterprises"
"q59c_07","Share of raw materials procured from state enterprises"
"q59d_07","Share of raw materials procured from state agencies"
"q59e_07","Share of raw materials procured from imported"
"q59f_07","Share of raw materials procured from other"
"q60a_07","Share of raw materials procured from same commune"
"q60b_07","Share of raw materials procured from other commune within district"
"q60c_07","Share of raw materials procured from other district within province"
"q60d_07","Share of raw materials procured from neighbouring province"
"q60e_07","Share of raw materials procured from other province (non-neighbor)"
"q60f_07","Share of raw materials procured from imports"
"q61a_07","Import raw materials from China"
"q61b_07","Import raw materials from Japan"
"q61c_07","Import raw materials from ASEAN countries"
"q61d_07","Import raw materials from other Asian countries"
"q61e_07","Import raw materials from US"
"q61f_07","Import raw materials from EU"
"q61g_07","Import raw materials from Russia"
"q61h_07","Import raw materials from other countries"
"q62a_07","Time to import"
"q62b_07","Cargo lost in 2006 while in transit in Vietnam"
"q63_07","Does the firm identify its own suppliers"
"q63_1_07","How does the firm identify  the most important suppliers"
"q64a_07","Main criteria for selecting suppliers"
"q65a_07","Do firms use business services purchased outside the firm"
"q65a2_07","Most important bizz service"
"q66_07","Most important source of bizz services"
"q67_07","Does the firm keep formal accounting books in accordance with regulations"
"q67a_07","Are accounts audited"
"q67b_07","Submit financial accounts"
"q68a_07","Corporate income tax (as share of total taxes)"
"q68b_07","VAT (as share of total taxes)"
"q68c_07","Business registration tax (as share of total taxes)"
"q68d_07","Import/export taxes (as share of total taxes)"
"q68e_07","Special consumption tax (as share of total taxes)"
"q68f_07","Property/Enterprise tax (as share of total taxes)"
"q68g_07","Other taxes (as share of total taxes)"
"q69_07","Percentage of management's working time spent each month dealing with government"
"q70_07","Does the firm provide informal payments"
"q70a_07","Bribe frequency"
"q70b_07","Bribe amount (as share of firm revenue)"
"q70c_07","Bribe purpose"
"q71_07","Will bribe payments increase in the future"
"q71a_07","Why do you think informal payments level will increase"
"q72_07","Firm size (number of full-time regular employees)"
"q73at_07","Total labour force (unpaid, casual and regular workers)"
"q73ct_07","Share full-time regular labour force"
"q73af_07","Share female labour force"
"q73bt_07","Share unpaid labour force"
"q73cat_07","Share regular labour force"
"q73dt_07","Share casual labour force"
"q74ta_07","Manager share of total workforce"
"q74tb_07","Professionals share of total workforce"
"q74tc_07","Office workers share of total workforce"
"q74td_07","Sales personnel share of total workforce"
"q74te_07","Service workers share of total workforce"
"q74tf_07","Production workers share of total workforce"
"q74wa_07","Share of managers which are women"
"q74wb_07","Share of professionals which are women"
"q74wd_07","Share of office workers which are women"
"q74we_07","Share of sales personnel which are women"
"q74wf_07","Share of service workers which are women"
"q74wg_07","Share of production workers which are women"
"q74w_07","Share of total workforce which are women"
"q75a_07","Persons hired in 2006 as a share of total full-time regular workforce"
"q75b_07","Persons quit the firm in 2006 as a share of total full-time regular workforce"
"q76_07","Firm provides training for new workers"
"q77_07","Firm provides training for existing workers"
"q78_07","Job rotation"
"q79_07","How does the firm mainly hire workers?"
"q80_07","Difficulties with recruitment due to lack of worker skill"
"q80a_07","Reason for recruitment difficulties"
"q81_07","Wage reductions or postponements in 2006"
"q82_07","Main wage determinant"
"q83a_07","Severance pay provided to laid off workers (due to incompetence)"
"q83b_07","Severance pay provided to laid off workers (due to general cutback)"
"q84_07","Does the enterprise have a local level trade union"
"q84a_07","Share of workforce that are members of the local trade union"
"q84b_07","Who is chairman of this local trade union"
"q85a_07","Firm pays social insurance contribution"
"q85b_07","Firm pays health insurance contribution"
"q86a_07","Firm pays sick leave"
"q86b_07","Firm provides paid maternity leave"
"q86c_07","Firm provides unpaid maternity leave"
"q86d_07","Firm provides annual leave with pay"
"q87_07","Is HIV having a notable effect on the performance of your business"
"q88a_07","Recruit HIV inflicted job candidates"
