"Variable","Label"
"EAq1a07","Revenue from sales in 2007"
"EAq1b07","Value of production/manufactured in 2007"
"EAq1c07","Value of additional income in 2007"
"EAq1d07","Total inderect costs in 2007"
"EAq1e07","Value of raw materials in 2007"
"EAq1f07","Total value added in 2007"
"EAq1g07","Total wage bill, incluiding allowance in 2007"
"EAq1h07","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"EAq1ha07","Social insurance costs in 2007"
"EAq1hb07","Health insurance costs in 2007"
"EAq1hc07","Training, recruitment and other costs in 2007"
"EAq1i07","Total gross profit in 2007"
"EAq1j07","Value of your allowable depreciation in 2007"
"EAq1k07","Total interest payments (only formal) in 2007"
"EAq1l07","Total fees and taxes (only formal) in 2007"
"EAq1m07","Inventories of finished goods beginning-year in 2007"
"EAq1n07","Inventories of finished goods end-year in 2007"
"EAq1o07","Inventories of raw materials and unfinished products beginning-year in 2007"
"EAq1p07","Inventories of raw materials and unfinished products end-year in 2007"
"EAq1q07","Total physical assets end-year (market price) in 2007"
"EAq1r07","Land value end-year (market price) in 2007"
"EAq1s07","Buildings end-year (market price) in 2007"
"EAq1t07","Machinery/Equipment end-year (market price) in 2007"
"EAq1u07","Total financial assets end-year (market price) in 2007"
"EAq1v07","Total outstanding debt end-year in 2007"
"EAq1x07","Total number of full-time workers in firm end-year in 2007"
"EAq1y07","Value of Import of Raw Materials in 2007"
"EAq1z07","Value of export of final product of enterprise in 2007"
"EAq1a08","Revenue from sales in 2008"
"EAq1b08","Value of production/manufactured in 2008"
"EAq1c08","Value of additional income in 2008"
"EAq1d08","Total inderect costs in 2008"
"EAq1e08","Value of raw materials in 2008"
"EAq1f08","Total value added in 2008"
"EAq1g08","Total wage bill, incluiding allowance in 2008"
"EAq1h08","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"EAq1ha08","Social insurance costs in 2008"
"EAq1hb08","Health insurance costs in 2008"
"EAq1hc08","Training, recruitment and other costs in 2008"
"EAq1i08","Total gross profit in 2008"
"EAq1j08","Value of your allowable depreciation in 2008"
"EAq1k08","Total interest payments (only formal) in 2008"
"EAq1l08","Total fees and taxes (only formal) in 2008"
"EAq1m08","Inventories of finished goods beginning-year in 2008"
"EAq1n08","Inventories of finished goods end-year in 2008"
"EAq1o08","Inventories of raw materials and unfinished products beginning-year in 2008"
"EAq1p08","Inventories of raw materials and unfinished products end-year in 2008"
"EAq1q08","Total physical assets end-year (market price) in 2008"
"EAq1r08","Land value end-year (market price) in 2008"
"EAq1s08","Buildings end-year (market price) in 2008"
"EAq1t08","Machinery/Equipment end-year (market price) in 2008"
"EAq1u08","Total financial assets end-year (market price) in 2008"
"EAq1v08","Total outstanding debt end-year in 2008"
"EAq1x08","Total number of full-time workers in firm end-year in 2008"
"EAq1y08","Value of Import of Raw Materials in 2008"
"EAq1z08","Value of export of final product of enterprise in 2008"
"EAq1a09","Revenue from sales in 2009"
"EAq1b09","Value of production/manufactured in 2009"
"EAq1c09","Value of additional income in 2009"
"EAq1d09","Total inderect costs in 2009"
"EAq1e09","Value of raw materials in 2009"
"EAq1f09","Total value added in 2009"
"EAq1g09","Total wage bill, incluiding allowance in 2009"
"EAq1h09","Other labour costs (social and health insurance, training, recruitment, etc.) in"
"EAq1ha09","Social insurance costs in 2009"
"EAq1hb09","Health insurance costs in 2009"
"EAq1hc09","Training, recruitment and other costs in 2009"
"EAq1i09","Total gross profit in 2009"
"EAq1j09","Value of your allowable depreciation in 2009"
"EAq1k09","Total interest payments (only formal) in 2009"
"EAq1l09","Total fees and taxes (only formal) in 2009"
"EAq1m09","Inventories of finished goods beginning-year in 2009"
"EAq1n09","Inventories of finished goods end-year in 2009"
"EAq1o09","Inventories of raw materials and unfinished products beginning-year in 2009"
"EAq1p09","Inventories of raw materials and unfinished products end-year in 2009"
"EAq1q09","Total physical assets end-year (market price) in 2009"
"EAq1r09","Land value end-year (market price) in 2009"
"EAq1s09","Buildings end-year (market price) in 2009"
"EAq1t09","Machinery/Equipment end-year (market price) in 2009"
"EAq1u09","Total financial assets end-year (market price) in 2009"
"EAq1v09","Total outstanding debt end-year in 2009"
"EAq1x09","Total number of full-time workers in firm end-year in 2009"
"EAq1y09","Value of Import of Raw Materials in 2009"
"EAq1z09","Value of export of final product of enterprise in 2009"
"q1_09","Firm id"
"q2b_09","Position of respondent"
"q2c_09","Gender of respondent"
"q2d_09","Age of respondent"
"q3bd_09","District"
"q3be_09","Province"
"q3d_09","Internet access"
"q3e_09","Email"
"q3f_09","Website"
"q4_09","Firm merger (take-over)"
"q5_09","Production zone"
"q6a_09","Year of establishment"
"q6b_09","Year of take over (current owners)"
"q7a_09","Tax code"
"q8_09","Type of firm"
"q9a_09","Changed owner"
"q9b_09","Reason for changing owner"
"q10a_09","Temporary closure, but operating now"
"q10a1_09","Reason for temporary closure"
"q10b_09","Changed legal status"
"q11a_09","Changed location"
"q11b_09","Reason for changing location"
"q12a_09","Legal status"
"q12b_09","HH formal/informal"
"q13_09","Manufacturing main production sector"
"q14a_09","Main road"
"q14b_09","Easy access to rail"
"q14c_09","Easy access to port"
"q15_09","Premises mainly used for"
"q16a_09","Certificate of Land Use Rights"
"q16aa_09","Time to obtain CLUR"
"q16ab_09","Cost of obtaining a CLUR"
"q16b_09","Cost of informal land agreement or rent"
"q17_n","Number of goods/services produced"
"q17_09","Diversification"
"q17a_09","Sector"
"q17a_4ds_09","Sector 4-digit VSIC"
"q18_09","Previous experience"
"q19_09","Main reason for starting business"
"q20_09","Startup difficulty index - 0 (none) to 13 (severe)"
